Niter 	 T[0]	T[1]	T[2]	T[3]	T[4]	T[5]	T[6]	T[7]	T[8]	T[9]	T[10]	T[11]	T[12]	T[13]	T[14]	T[15]	T[16]	T[17]	T[18]	T[19]	T[20]	T[21]	T[22]	T[23]	T[24]	T[25]	T[26]	T[27]	T[28]	T[29]	T[30]	T[31]	T[32]	T[33]	T[34]	T[35]	T[36]	T[37]	T[38]	T[39]	T[40]	T[41]	T[42]	T[43]	T[44]	T[45]	T[46]	T[47]	T[48]	T[49]	T[50]	T[51]	T[52]	T[53]	T[54]	T[55]	T[56]	T[57]	T[58]	T[59]	T[60]	T[61]	T[62]	T[63]	T[64]	T[65]	T[66]	T[67]	T[68]	T[69]	T[70]	T[71]	T[72]	T[73]	T[74]	T[75]	T[76]	T[77]	T[78]	T[79]	T[80]	T[81]	T[82]	T[83]	T[84]	T[85]	T[86]	T[87]	T[88]	T[89]	T[90]	T[91]	T[92]	T[93]	T[94]	T[95]	T[96]	T[97]	T[98]	T[99]	Residual 
0 	4.666667e+02 	3.333333e+02 	2.666667e+02 	2.333333e+02 	2.166667e+02 	2.083333e+02 	2.041667e+02 	2.020833e+02 	2.010417e+02 	2.005208e+02 	2.002604e+02 	2.001302e+02 	2.000651e+02 	2.000326e+02 	2.000163e+02 	2.000081e+02 	2.000041e+02 	2.000020e+02 	2.000010e+02 	2.000005e+02 	2.000003e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	5.312500e+02 
1 	5.111111e+02 	3.888889e+02 	3.111111e+02 	2.638889e+02 	2.361111e+02 	2.201389e+02 	2.111111e+02 	2.060764e+02 	2.032986e+02 	2.017795e+02 	2.009549e+02 	2.005100e+02 	2.002713e+02 	2.001438e+02 	2.000760e+02 	2.000400e+02 	2.000210e+02 	2.000110e+02 	2.000058e+02 	2.000030e+02 	2.000016e+02 	2.000008e+02 	2.000004e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	2.171875e+02 
2 	5.296296e+02 	4.203704e+02 	3.421296e+02 	2.891204e+02 	2.546296e+02 	2.328704e+02 	2.194734e+02 	2.113860e+02 	2.065828e+02 	2.037688e+02 	2.021394e+02 	2.012053e+02 	2.006746e+02 	2.003753e+02 	2.002076e+02 	2.001143e+02 	2.000627e+02 	2.000342e+02 	2.000186e+02 	2.000101e+02 	2.000055e+02 	2.000029e+02 	2.000016e+02 	2.000008e+02 	2.000005e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	1.511719e+02 
3 	5.401235e+02 	4.411265e+02 	3.651235e+02 	3.098765e+02 	2.713735e+02 	2.454234e+02 	2.284047e+02 	2.174937e+02 	2.106313e+02 	2.063853e+02 	2.037953e+02 	2.022349e+02 	2.013051e+02 	2.007564e+02 	2.004353e+02 	2.002490e+02 	2.001416e+02 	2.000801e+02 	2.000451e+02 	2.000253e+02 	2.000141e+02 	2.000078e+02 	2.000043e+02 	2.000024e+02 	2.000013e+02 	2.000007e+02 	2.000004e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	1.193359e+02 
4 	5.470422e+02 	4.560828e+02 	3.829797e+02 	3.271766e+02 	2.863000e+02 	2.573524e+02 	2.374230e+02 	2.240272e+02 	2.152062e+02 	2.095008e+02 	2.058679e+02 	2.035865e+02 	2.021714e+02 	2.013034e+02 	2.007762e+02 	2.004589e+02 	2.002695e+02 	2.001573e+02 	2.000913e+02 	2.000527e+02 	2.000303e+02 	2.000173e+02 	2.000099e+02 	2.000056e+02 	2.000032e+02 	2.000018e+02 	2.000010e+02 	2.000006e+02 	2.000003e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	9.943848e+01 
5 	5.520276e+02 	4.675036e+02 	3.973401e+02 	3.418200e+02 	2.995862e+02 	2.685046e+02 	2.462659e+02 	2.307361e+02 	2.201184e+02 	2.129931e+02 	2.082898e+02 	2.052306e+02 	2.032670e+02 	2.020216e+02 	2.012403e+02 	2.007549e+02 	2.004561e+02 	2.002737e+02 	2.001632e+02 	2.000967e+02 	2.000570e+02 	2.000334e+02 	2.000195e+02 	2.000113e+02 	2.000066e+02 	2.000038e+02 	2.000022e+02 	2.000012e+02 	2.000007e+02 	2.000004e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	8.540039e+01 
6 	5.558345e+02 	4.765873e+02 	4.092037e+02 	3.543949e+02 	3.114498e+02 	2.788578e+02 	2.547970e+02 	2.374577e+02 	2.252254e+02 	2.167576e+02 	2.109941e+02 	2.071306e+02 	2.045761e+02 	2.029082e+02 	2.018315e+02 	2.011438e+02 	2.007088e+02 	2.004360e+02 	2.002664e+02 	2.001617e+02 	2.000976e+02 	2.000585e+02 	2.000349e+02 	2.000207e+02 	2.000123e+02 	2.000072e+02 	2.000042e+02 	2.000025e+02 	2.000014e+02 	2.000008e+02 	2.000005e+02 	2.000003e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	7.479858e+01 
7 	5.588624e+02 	4.840331e+02 	4.192140e+02 	3.653319e+02 	3.220949e+02 	2.884459e+02 	2.629518e+02 	2.440886e+02 	2.304231e+02 	2.207086e+02 	2.139196e+02 	2.092478e+02 	2.060780e+02 	2.039548e+02 	2.025493e+02 	2.016290e+02 	2.010325e+02 	2.006494e+02 	2.004056e+02 	2.002516e+02 	2.001550e+02 	2.000950e+02 	2.000579e+02 	2.000351e+02 	2.000211e+02 	2.000127e+02 	2.000076e+02 	2.000045e+02 	2.000027e+02 	2.000016e+02 	2.000009e+02 	2.000005e+02 	2.000003e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	6.643982e+01 
8 	5.613444e+02 	4.902792e+02 	4.278055e+02 	3.749502e+02 	3.316981e+02 	2.973249e+02 	2.707068e+02 	2.505649e+02 	2.356368e+02 	2.247782e+02 	2.170130e+02 	2.115455e+02 	2.077501e+02 	2.051497e+02 	2.033894e+02 	2.022109e+02 	2.014302e+02 	2.009179e+02 	2.005847e+02 	2.003699e+02 	2.002324e+02 	2.001452e+02 	2.000901e+02 	2.000556e+02 	2.000342e+02 	2.000209e+02 	2.000127e+02 	2.000077e+02 	2.000046e+02 	2.000028e+02 	2.000017e+02 	2.000010e+02 	2.000006e+02 	2.000003e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	5.965137e+01 
9 	5.634264e+02 	4.956160e+02 	4.352831e+02 	3.834906e+02 	3.404077e+02 	3.055573e+02 	2.780611e+02 	2.568489e+02 	2.408136e+02 	2.289133e+02 	2.202294e+02 	2.139898e+02 	2.095697e+02 	2.064795e+02 	2.043452e+02 	2.028877e+02 	2.019028e+02 	2.012438e+02 	2.008068e+02 	2.005196e+02 	2.003324e+02 	2.002112e+02 	2.001334e+02 	2.000838e+02 	2.000523e+02 	2.000325e+02 	2.000201e+02 	2.000124e+02 	2.000076e+02 	2.000046e+02 	2.000028e+02 	2.000017e+02 	2.000010e+02 	2.000006e+02 	2.000004e+02 	2.000002e+02 	2.000001e+02 	2.000001e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.000000e+02 	2.486667e+02 	5.401709e+01 
